0,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.12,S,S,S,S,S,S,S,S,I,S,S,S,S,S
0.03,S,S,S,S,S,S,S,S,I,I,S,S,S,S
0.01,S,S,S,S,S,V,S,S,I,I,S,S,S,S
0.03,S,S,S,S,S,V,S,V,I,I,S,S,S,S
0.02,S,S,S,S,S,V,S,V,I,I,S,S,I,S
0.03,S,S,S,S,S,V,S,V,S,I,S,S,I,S
0.00,S,S,S,S,S,V,S,V,S,I,S,V,I,S
0.01,S,S,S,S,V,V,S,V,S,I,S,V,I,S
0.04,S,S,S,S,V,V,S,V,S,I,S,V,I,V
0.05,S,S,S,S,V,V,S,V,I,I,S,V,I,V
0.02,S,S,V,S,V,V,S,V,I,I,S,V,I,V
0.08,S,S,V,S,V,V,I,V,I,I,S,V,I,V
0.07,S,S,V,S,V,V,S,V,I,I,S,V,I,V
0.04,S,S,V,S,V,V,V,V,I,I,S,V,I,V
0.07,I,S,V,S,V,V,V,V,I,I,S,V,I,V
0.06,I,V,V,S,V,V,V,V,I,I,S,V,I,V
0.09,S,V,V,S,V,V,V,V,I,I,S,V,I,V
0.05,S,V,V,V,V,V,V,V,I,I,S,V,I,V
0.03,V,V,V,V,V,V,V,V,I,I,S,V,I,V
0.57,V,V,V,V,V,V,V,V,I,I,I,V,I,V
0.10,V,V,V,V,V,V,V,V,I,S,I,V,I,V
0.08,V,V,V,V,V,V,V,V,S,S,I,V,I,V
0.11,V,V,V,V,V,V,V,V,V,S,I,V,I,V
0.41,V,V,V,V,V,V,V,V,V,I,I,V,I,V
0.05,V,V,V,V,V,V,V,V,V,I,I,V,S,V
0.12,V,V,V,V,V,V,V,V,V,I,S,V,S,V
0.04,V,V,V,V,V,V,V,V,V,I,S,V,V,V
0.02,V,V,V,V,V,V,V,V,V,I,V,V,V,V
1.32,V,V,V,V,V,V,V,V,V,S,V,V,V,V
0.26,V,V,V,V,V,V,V,V,V,V,V,V,V,V
