0,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.02,S,S,S,S,S,S,S,S,S,S,S,S,S,V
0.02,S,S,S,S,S,S,V,S,S,S,S,S,S,V
0.08,V,S,S,S,S,S,V,S,S,S,S,S,S,V
0.02,V,S,S,S,S,S,V,S,S,S,V,S,S,V
0.06,V,S,S,S,S,V,V,S,S,S,V,S,S,V
0.15,V,S,S,S,S,V,V,S,S,S,V,S,V,V
0.00,V,S,S,V,S,V,V,S,S,S,V,S,V,V
0.05,V,S,S,V,I,V,V,S,S,S,V,S,V,V
0.01,V,V,S,V,I,V,V,S,S,S,V,S,V,V
0.15,V,V,S,V,I,V,V,S,S,V,V,S,V,V
0.20,V,V,V,V,I,V,V,S,S,V,V,S,V,V
0.01,V,V,V,V,S,V,V,S,S,V,V,S,V,V
0.59,V,V,V,V,I,V,V,S,S,V,V,S,V,V
0.19,V,V,V,V,S,V,V,S,S,V,V,S,V,V
0.16,V,V,V,V,V,V,V,S,S,V,V,S,V,V
0.13,V,V,V,V,V,V,V,S,S,V,V,V,V,V
0.32,V,V,V,V,V,V,V,S,I,V,V,V,V,V
0.39,V,V,V,V,V,V,V,I,I,V,V,V,V,V
0.27,V,V,V,V,V,V,V,S,I,V,V,V,V,V
0.41,V,V,V,V,V,V,V,V,I,V,V,V,V,V
1.30,V,V,V,V,V,V,V,V,S,V,V,V,V,V
1.42,V,V,V,V,V,V,V,V,I,V,V,V,V,V
1.78,V,V,V,V,V,V,V,V,S,V,V,V,V,V
0.28,V,V,V,V,V,V,V,V,I,V,V,V,V,V
3.41,V,V,V,V,V,V,V,V,S,V,V,V,V,V
1.00,V,V,V,V,V,V,V,V,I,V,V,V,V,V
1.28,V,V,V,V,V,V,V,V,S,V,V,V,V,V
2.57,V,V,V,V,V,V,V,V,I,V,V,V,V,V
1.20,V,V,V,V,V,V,V,V,S,V,V,V,V,V
0.24,V,V,V,V,V,V,V,V,V,V,V,V,V,V
