0,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S
0.04,S,S,S,I,S,S,S,S,S,S,S,S
0.16,S,S,S,I,S,I,S,S,S,S,S,S
0.08,S,S,I,I,S,I,S,S,S,S,S,S
0.20,I,S,I,I,S,I,S,S,S,S,S,S
0.00,I,S,I,I,S,S,S,S,S,S,S,S
0.10,I,S,S,I,S,S,S,S,S,S,S,S
0.04,I,S,I,I,S,S,S,S,S,S,S,S
0.05,I,S,I,I,S,I,S,S,S,S,S,S
0.05,I,S,I,S,S,I,S,S,S,S,S,S
0.04,I,I,I,S,S,I,S,S,S,S,S,S
0.15,I,I,I,S,S,I,S,I,S,S,S,S
0.04,I,S,I,S,S,I,S,I,S,S,S,S
0.02,I,S,I,I,S,I,S,I,S,S,S,S
0.00,I,I,I,I,S,I,S,I,S,S,S,S
0.03,I,I,S,I,S,I,S,I,S,S,S,S
0.02,I,I,I,I,S,I,S,I,S,S,S,S
0.04,I,I,I,I,S,I,S,I,S,S,S,I
0.10,I,I,I,I,S,S,S,I,S,S,S,I
0.01,I,I,I,I,S,I,S,I,S,S,S,I
0.09,I,I,I,I,S,I,S,S,S,S,S,I
0.00,I,I,I,I,S,I,S,I,S,S,S,I
0.10,I,I,I,I,S,I,S,I,S,S,I,I
0.05,I,I,S,I,S,I,S,I,S,S,I,I
0.01,I,I,I,I,S,I,S,I,S,S,I,I
0.14,S,I,I,I,S,I,S,I,S,S,I,I
0.00,I,I,I,I,S,I,S,I,S,S,I,I
0.09,I,I,I,I,S,I,S,I,S,S,I,S
0.00,I,I,I,I,S,I,S,I,S,S,I,I
0.12,I,I,I,I,I,I,S,I,S,S,I,I
0.15,I,I,I,I,I,S,S,I,S,S,I,I
0.00,I,I,I,I,I,I,S,I,S,S,I,I
0.03,I,S,I,I,I,I,S,I,S,S,I,I
0.02,I,I,I,I,I,I,S,I,S,S,I,I
0.05,I,I,I,I,I,I,I,I,S,S,I,I
0.20,I,I,I,S,I,I,I,I,S,S,I,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.09,I,I,I,I,S,I,I,I,S,S,I,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.08,S,I,I,I,I,I,I,I,S,S,I,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.02,I,I,I,I,I,I,I,S,S,S,I,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.04,I,I,I,I,I,I,I,I,S,S,S,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.00,I,I,S,I,I,I,I,I,S,S,I,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.01,I,I,I,I,I,S,I,I,S,S,I,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.01,S,I,I,I,I,I,I,I,S,S,I,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.03,I,I,I,I,I,I,I,I,S,S,I,S
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.29,I,I,I,S,I,I,I,I,S,S,I,I
0.00,I,I,I,I,I,I,I,I,S,S,I,I
0.11,I,I,I,I,I,I,I,I,S,I,I,I
0.04,I,I,I,I,I,S,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,S,I,I,I
0.01,I,I,I,S,I,I,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,S,I,I,I
0.03,I,I,I,I,I,S,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,S,I,I,I
0.01,I,I,I,I,I,I,I,I,S,I,S,I
0.00,I,I,I,I,I,I,I,I,S,I,I,I
0.03,I,I,I,I,I,I,S,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,S,I,I,I
0.07,I,I,S,I,I,I,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,S,I,I,I
0.07,I,I,I,I,I,I,I,I,I,I,I,I
0.08,I,I,I,I,I,I,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.13,I,I,I,I,I,I,I,I,I,I,S,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.04,I,I,I,I,I,I,I,I,I,I,I,S
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.04,I,I,I,I,I,I,I,I,I,S,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.09,I,I,I,I,S,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.05,I,I,I,I,I,I,I,I,I,I,I,S
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.13,I,I,I,S,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.01,I,I,I,I,I,I,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.01,S,I,I,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.01,I,I,I,I,I,I,I,I,I,I,S,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.06,I,I,S,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.10,I,I,I,I,S,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.03,S,I,I,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.23,I,I,I,I,I,I,I,I,I,I,S,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.01,I,I,S,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.12,I,I,S,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.01,I,I,I,I,I,I,I,I,I,S,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.14,I,I,I,I,I,I,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.09,I,I,I,I,I,I,I,I,I,I,S,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.01,S,I,I,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.05,I,I,I,I,I,I,I,I,I,I,I,S
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.10,I,I,I,I,I,I,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.02,I,I,I,I,I,I,I,I,I,I,I,S
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.06,S,I,I,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.06,I,I,I,I,I,I,I,I,I,I,I,S
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.03,I,I,I,S,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.01,I,I,I,I,I,I,I,I,S,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.10,I,I,I,I,S,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.06,I,I,S,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,S,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.01,I,I,I,I,I,I,S,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.23,I,I,S,I,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.06,I,I,I,I,I,I,I,I,I,S,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.10,I,I,I,I,S,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.07,I,I,I,S,I,I,I,I,I,I,I,I
0.00,I,I,I,I,I,I,I,I,I,I,I,I
0.13,I,I,S,I,I,I,I,I,I,I,I,I
