0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.05,V,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.04,V,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S
0.03,V,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,V,S,I,S,S,S,S,S,S
0.01,V,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,V,S,I,S,V,S,S,S,S
0.08,V,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,V,S,I,S,V,S,S,S,S
0.04,V,S,S,V,S,S,S,S,S,S,S,S,I,S,S,S,S,V,S,I,S,V,S,S,S,S
0.05,V,S,S,V,S,S,S,V,S,S,S,S,I,S,S,S,S,V,S,I,S,V,S,S,S,S
0.01,V,S,S,V,S,S,S,V,S,S,S,S,I,S,S,S,S,V,S,I,S,V,S,S,V,S
0.02,V,S,S,V,S,S,S,V,S,S,S,S,I,S,S,S,S,V,V,I,S,V,S,S,V,S
0.00,V,S,S,V,S,S,S,V,S,S,S,S,S,S,S,S,S,V,V,I,S,V,S,S,V,S
0.06,V,S,S,V,S,S,S,V,S,S,S,V,S,S,S,S,S,V,V,I,S,V,S,S,V,S
0.10,V,S,V,V,S,S,S,V,S,S,S,V,S,S,S,S,S,V,V,I,S,V,S,S,V,S
0.00,V,S,V,V,S,S,S,V,S,S,V,V,S,S,S,S,S,V,V,I,S,V,S,S,V,S
0.12,V,S,V,V,S,S,S,V,S,S,V,V,S,S,S,S,S,V,V,S,S,V,S,S,V,S
0.07,V,S,V,V,S,S,V,V,S,S,V,V,S,S,S,S,S,V,V,S,S,V,S,S,V,S
0.03,V,S,V,V,S,S,V,V,S,S,V,V,V,S,S,S,S,V,V,S,S,V,S,S,V,S
0.26,V,S,V,V,S,S,V,V,S,S,V,V,V,S,S,S,S,V,V,S,S,V,S,V,V,S
0.20,V,S,V,V,S,V,V,V,S,S,V,V,V,S,S,S,S,V,V,S,S,V,S,V,V,S
0.01,V,S,V,V,S,V,V,V,S,S,V,V,V,V,S,S,S,V,V,S,S,V,S,V,V,S
0.03,V,S,V,V,S,V,V,V,I,S,V,V,V,V,S,S,S,V,V,S,S,V,S,V,V,S
