0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.06,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I
0.04,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.01,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S
0.02,S,S,S,S,S,I,S,S,S,S,S,S,S,I,S,S,S,S
0.02,S,S,S,S,I,I,S,S,S,S,S,S,S,I,S,S,S,S
0.01,I,S,S,S,I,I,S,S,S,S,S,S,S,I,S,S,S,S
0.06,I,S,S,S,I,I,S,S,S,S,S,S,S,I,S,S,I,S
0.03,I,S,S,S,I,I,S,S,S,S,S,S,S,S,S,S,I,S
0.12,I,S,S,S,I,I,S,S,S,S,S,S,S,S,S,I,I,S
0.04,I,S,S,S,I,I,S,S,I,S,S,S,S,S,S,I,I,S
0.04,I,S,S,S,I,S,S,S,I,S,S,S,S,S,S,I,I,S
0.19,I,S,I,S,I,S,S,S,I,S,S,S,S,S,S,I,I,S
0.02,I,S,I,S,I,S,S,S,S,S,S,S,S,S,S,I,I,S
0.08,I,S,I,S,I,S,S,S,S,I,S,S,S,S,S,I,I,S
0.14,I,S,I,S,I,S,S,S,S,I,S,S,S,S,S,I,S,S
0.09,I,S,I,S,S,S,S,S,S,I,S,S,S,S,S,I,S,S
0.02,I,S,I,S,S,S,S,S,S,I,S,S,I,S,S,I,S,S
0.22,S,S,I,S,S,S,S,S,S,I,S,S,I,S,S,I,S,S
0.09,S,S,I,S,S,S,I,S,S,I,S,S,I,S,S,I,S,S
0.11,S,S,I,S,S,S,I,S,S,I,I,S,I,S,S,I,S,S
1.04,S,S,I,S,S,S,S,S,S,I,I,S,I,S,S,I,S,S
0.16,S,S,I,S,S,S,S,S,S,I,I,S,S,S,S,I,S,S
0.28,S,S,I,S,S,S,S,S,S,S,I,S,S,S,S,I,S,S
0.05,S,S,I,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.23,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
0.11,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.04,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S
0.10,S,S,S,S,S,S,S,S,S,S,I,I,S,S,S,S,S,S
0.24,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S
0.26,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.10,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.23,S,I,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.31,S,I,S,S,S,S,S,S,S,S,S,I,S,S,I,S,S,S
0.17,S,I,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S
0.05,S,I,S,I,S,S,S,S,S,S,S,I,S,S,S,S,S,S
0.06,S,I,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.62,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.12,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.23,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I
0.15,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.94,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.11,S,S,S,S,S,S,S,I,S,S,I,S,S,S,S,S,S,S
0.47,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
1.15,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,I
0.12,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I
0.52,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.12,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.17,S,I,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.33,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.61,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
2.45,S,S,S,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S
