0,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.19,S,S,V,S,S,S,S,S,S,S
0.06,S,S,V,S,S,S,S,S,S,I
0.06,S,S,V,S,S,S,S,S,S,D
0.02,S,S,V,S,S,S,S,S,I,D
0.01,S,S,V,S,S,S,S,S,D,D
0.03,S,S,V,S,S,I,S,S,D,D
0.03,S,S,V,S,S,D,S,S,D,D
0.09,S,S,V,I,S,D,S,S,D,D
0.07,S,S,V,D,S,D,S,S,D,D
0.96,S,I,V,D,S,D,S,S,D,D
0.02,S,D,V,D,S,D,S,S,D,D
0.35,S,D,V,D,S,D,I,S,D,D
0.09,S,D,V,D,S,D,D,S,D,D
0.20,S,D,V,D,V,D,D,S,D,D
2.30,S,D,V,D,V,D,D,I,D,D
0.20,S,D,V,D,V,D,D,D,D,D
1.26,V,D,V,D,V,D,D,D,D,D
