0,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S
0.19,S,S,S,S,S,S,S,S,S,I
0.12,S,S,S,S,S,S,S,I,S,I
0.01,S,S,V,S,S,S,S,I,S,I
0.02,S,S,V,S,S,S,S,I,S,D
0.01,S,S,V,S,S,I,S,I,S,D
0.00,S,S,V,S,S,D,S,I,S,D
0.02,S,S,V,I,S,D,S,I,S,D
0.01,S,S,V,D,S,D,S,I,S,D
0.02,S,S,V,D,S,D,S,D,S,D
0.54,S,S,V,D,S,D,S,D,I,D
0.17,S,S,V,D,S,D,S,D,D,D
0.61,I,S,V,D,S,D,S,D,D,D
0.06,D,S,V,D,S,D,S,D,D,D
0.06,D,S,V,D,S,D,I,D,D,D
0.05,D,S,V,D,S,D,D,D,D,D
0.24,D,S,V,D,V,D,D,D,D,D
1.11,D,V,V,D,V,D,D,D,D,D
