0,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.11,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,V,S,S,S,S,S
0.01,S,S,V,S,S,S,S,S,S,S,S,S,S,S,S,S,V,S,S,S,S,S
0.05,S,S,V,S,S,S,S,S,S,S,S,S,S,S,S,S,V,S,S,I,S,S
0.01,S,S,V,S,S,S,S,S,S,S,S,S,S,S,V,S,V,S,S,I,S,S
0.04,S,S,V,S,S,S,S,S,S,S,S,V,S,S,V,S,V,S,S,I,S,S
0.05,S,S,V,S,S,S,S,V,S,S,S,V,S,S,V,S,V,S,S,I,S,S
0.10,S,S,V,S,S,S,S,V,S,S,S,V,S,S,V,S,V,S,V,I,S,S
0.00,S,S,V,S,S,S,S,V,S,S,S,V,S,S,V,S,V,V,V,I,S,S
0.12,S,S,V,S,S,S,S,V,S,S,S,V,S,V,V,S,V,V,V,I,S,S
0.16,S,S,V,S,S,S,S,V,S,V,S,V,S,V,V,S,V,V,V,I,S,S
0.00,S,S,V,S,S,S,S,V,S,V,S,V,S,V,V,S,V,V,V,I,V,S
0.30,V,S,V,S,S,S,S,V,S,V,S,V,S,V,V,S,V,V,V,I,V,S
0.01,V,S,V,S,V,S,S,V,S,V,S,V,S,V,V,S,V,V,V,I,V,S
0.05,V,S,V,V,V,S,S,V,S,V,S,V,S,V,V,S,V,V,V,I,V,S
0.11,V,S,V,V,V,S,S,V,V,V,S,V,S,V,V,S,V,V,V,I,V,S
0.03,V,S,V,V,V,S,S,V,V,V,V,V,S,V,V,S,V,V,V,I,V,S
0.05,V,V,V,V,V,S,S,V,V,V,V,V,S,V,V,S,V,V,V,I,V,S
0.01,V,V,V,V,V,S,S,V,V,V,V,V,S,V,V,S,V,V,V,I,V,V
0.07,V,V,V,V,V,S,I,V,V,V,V,V,S,V,V,S,V,V,V,I,V,V
0.08,V,V,V,V,V,V,I,V,V,V,V,V,S,V,V,S,V,V,V,I,V,V
0.03,V,V,V,V,V,V,I,V,V,V,V,V,S,V,V,S,V,V,V,S,V,V
0.07,V,V,V,V,V,V,I,V,V,V,V,V,S,V,V,S,V,V,V,V,V,V
0.06,V,V,V,V,V,V,I,V,V,V,V,V,S,V,V,V,V,V,V,V,V,V
0.45,V,V,V,V,V,V,S,V,V,V,V,V,S,V,V,V,V,V,V,V,V,V
0.01,V,V,V,V,V,V,S,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1.81,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
